provider;name;address;northing;easting;lat;lon;lat_ind;lon_ind;spots
Vattenfall Ladestationen;ContiPark;Clayallee 328, 14169 Berlin;15315.9654750302;12412.93384931;52.438396;13.262438;52.438396;13.262438;2
Vattenfall Ladestationen;Ring-Center;Frankfurter Allee 113, 10247 Berlin;29832.4501885583;20740.4776712801;52.513688;13.475666;52.513688;13.475666;2
Vattenfall Ladestationen;Allee Center / ECE;Landsberger Allee 277, 13055 Berlin;31316.9505660025;23076.6505770212;52.534531;13.49487;52.534531;13.49487;2
Vattenfall Ladestationen;EUREF;Torgauer Strasse 12, 10829 Berlin;21660.4504359325;17030.5525895959;52.480134;13.355504;52.480134;13.355504;2
Vattenfall Ladestationen;Total;Indira-Gandhi-Strasse 106-109, 13053 Berlin;29320.3713551021;24391.7040068956;52.5465;13.46805;52.5465;13.46805;2
Vattenfall Ladestationen;EASTGATE Berlin / ECE;Marzahner Promenade 1A, 12679 Berlin;34705.2637816455;24028.4150134421;52.543012;13.543509;52.543012;13.543509;2
Vattenfall Ladestationen;IAV;Helmholtzstrasse 41, 10587 Berlin;19350.1494446119;21572.1287925682;52.520864;13.321217;52.520864;13.321217;2
Vattenfall Ladestationen;Vattenfall Europe;Puschkinallee 52, 12435 Berlin;28280.70066135;18649.5061852761;52.494862;13.452886;52.494862;13.452886;2
Vattenfall Ladestationen;Messe Berlin GmbH;Hammerskj”ldplatz 1, 14055 Berlin;16478.14177323;19966.676647436;52.50786;13.2744;52.50786;13.2744;2
Vattenfall Ladestationen;Oskar B”ttcher GmbH & Co. KG (obeta);Bessemerstrasse 23-39, 12103 Berlin;22437.1983208618;15359.8753798233;52.465146;13.367025;52.465146;13.367025;2
Vattenfall Ladestationen;REWE;Emmentaler Strasse 122-130, 13409 Berlin;22343.2896007964;27258.5195942547;52.57205;13.36498;52.57205;13.36498;2
Vattenfall Ladestationen;REWE;Groß-Ziethener Chaussee 33, 12355 Berlin;30941.7412012215;9624.78941747483;52.413817;13.492319;52.413817;13.492319;2
Vattenfall Ladestationen;Total;Holzmarktstrasse 36-42, 10243 Berlin;26701.3420071814;20421.8673001307;52.510756;13.429561;52.510756;13.429561;2
Vattenfall Ladestationen;Total;Margarete-Sommer-Strasse 2, 10407 Berlin;27535.1626548591;22656.454641069;52.530858;13.44176;52.530858;13.44176;2
Vattenfall Ladestationen;Gravis;Ernst-Reuter-Platz 9, 10587 Berlin;19386.0343533465;20714.4646574335;52.513158;13.321799;52.513158;13.321799;2
Vattenfall Ladestationen;REWE;Ostseestrasse 23, 10409 Berlin;27004.2327224627;24776.6879507109;52.549899;13.433853;52.549899;13.433853;2
Vattenfall Ladestationen;REWE;Kiefholzstrasse 50, 12059 Berlin;28658.9365235107;17627.7564113479;52.485692;13.458492;52.485692;13.458492;2
Vattenfall Ladestationen;REWE;Rauchstrasse 56, 13587 Berlin;12182.4283048486;26044.877532484;52.560738;13.215246;52.560738;13.215246;2
Vattenfall Ladestationen;REWE;Malteserstrasse 136?138, 12249 Berlin;21861.922706304;10399.5872776494;52.420539;13.35881;52.420539;13.35881;2
Fraunhofer IVI;IVI Ladestation 1;Teststraße 1, 01069 Dresden;5656189.1;411491.5;51.027040;13.735485;51.027040;13.735485;2
Fraunhofer IVI;IVI Ladestation 2;Teststraße 2, 01069 Dresden;5656189.1;411491.5;51.027308;13.736234;51.027308;13.736234;2
Fraunhofer IVI;IVI Ladestation 3;Teststraße 3, 01069 Dresden;5656189.1;411491.5;51.027069;13.737902;51.027069;13.737902;2
Fraunhofer IVI;IVI Ladestation 4;Teststraße 4, 01069 Dresden;5656189.1;411491.5;51.026772;13.738544;51.026772;13.738544;2
Fraunhofer IVI;IVI Ladestation 5;Teststraße 5, 01069 Dresden;5656189.1;411491.5;51.026766;13.738860;51.026766;13.738860;2
Fraunhofer IVI;IVI Ladestation 6;Teststraße 6, 01069 Dresden;5656189.1;411491.5;51.028889;13.728056;51.028889;13.728056;2
Fraunhofer IVI;IVI Ladestation 7;Teststraße 7, 01069 Dresden;5656189.1;411491.5;51.015101;13.772522;51.015101;13.772522;2
Fraunhofer IVI;IVI Ladestation 8;Teststraße 8, 01069 Dresden;5656189.1;411491.5;51.039722;13.733056;51.039722;13.733056;2
Fraunhofer IVI;IVI Ladestation 9;Teststraße 9, 01069 Dresden;5656189.1;411491.5;51.048333;13.744444;51.048333;13.744444;2
Fraunhofer IVI;IVI Ladestation 10;Teststraße 10, 01069 Dresden;5656189.1;411491.5;51.049722;13.743889;51.049722;13.743889;2
Fraunhofer IVI;IVI Ladestation 11;Teststraße 11, 01069 Dresden;5656189.1;411491.5;51.060556;13.739444;51.060556;13.739444;2
Fraunhofer IVI;IVI Ladestation 12;Teststraße 12, 01069 Dresden;5656189.1;411491.5;51.026667;13.784444;51.026667;13.784444;2
Fraunhofer IVI;IVI Ladestation 13;Teststraße 13, 01069 Dresden;5656189.1;411491.5;51.041111;13.709722;51.041111;13.709722;2
Fraunhofer IVI;IVI Ladestation 14;Teststraße 14, 01069 Dresden;5656189.1;411491.5;51.058056;13.708333;51.058056;13.708333;2
Fraunhofer IVI;IVI Ladestation 15;Teststraße 15, 01069 Dresden;5656189.1;411491.5;51.058889;13.701944;51.058889;13.701944;2
Fraunhofer IVI;IVI Ladestation 16;Teststraße 16, 01069 Dresden;5656189.1;411491.5;51.080278;13.758889;51.080278;13.758889;2
Fraunhofer IVI;IVI Ladestation 17;Teststraße 17, 01069 Dresden;5656189.1;411491.5;51.083889;13.692778;51.083889;13.692778;2
